Id;Default
132; Master: %f
383; Name:
139;%.2f
285;%d
287;%f
324;%s
385;/
151;1
299;16#%x
152;32
389;A:
142;Acc
135;Acc: %f
200;Accelerating
296;Acceleration
32;Acceleration : %f
109;Acceleration: %f
250;Acceleration:%f
288;AccelerationScale
67;ActPosition: %f
69;ActVelocity: %f
286;ArraySize
155;ArraySize: %d
416;AvoidReversal
72;AxisError
313;AxisErrorID
73;AxisErrorID : %d
1;b
237;bActAcceleration
233;bActPosition
235;bActVelocity
26;bBrakeClosed
2;bBusy
6;bBusY
7;bBusys
218;bCheckAccDec
96;bCheckVel
231;bCloseFile
81;bCommandAborted
181;bCompensating
25;bDone
46;bDriveStart
4;bDriveStartRealState
24;bEnable
82;bError
77;bExecute
117;bFBError
92;bIgnoreHWLimit
90;bIndexOccured
146;bInitValue
162;bInPosition
217;bLimitsExceeded
406;bPositionRestored
405;bPositionStored
15;bQucikStop
240;bRecording
12;bReferenceSwitch
45;bRegulatorOn
13;bRegulatorOnRealState
14;bRegulatorRealState
89;bReturnToZero
225;bSet
236;bSetAcceleration
147;bSetInitValueAtReset
232;bSetPosition
234;bSetVelocity
17;bStartAtEnd
93;bStartLatchingIndex
359;bTappet
166;bTimeOut
0;Busy
3;Busyr
5;bValid
94;bVirtual
360;byDeadTimeCycles
185;byDeadTimeCycles: %d
326;bySeparatorChar
239;bySeparatorChar: %d
37;CommandAborted
199;ConstantVelocity
196;ContinuousMotion
269;DeadTimeComp.: %f
346;DeadTimeCompensation
201;Decelerating
297;Deceleration
173;Deceleration : %f
33;Deceleration: %f
251;Deceleration:%f
309;Direction
40;Direction: %s
9;Disabled
195;DiscreteMotion
310;Distance
48;Distance : %f
337;dMasterAccMax
129;dMasterAccMax : %.2f
338;dMasterScaling
130;dMasterScaling : %.2f
336;dMasterVelMax
128;dMasterVelMax : %.2f
344;dMaxAccDec
126;dMaxAccDec : %.2f
340;dMaxPos
122;dMaxPos : %.2f
342;dMaxVel
124;dMaxVel : %.2f
345;dMinAccDec
127;dMinAccDec : %.2f
341;dMinPos
123;dMinPos : %.2f
343;dMinVel
125;dMinVel : %.2f
99;Done
16;dQuickDeceleration: %f
339;dSlaveScaling
131;dSlaveScaling : %.2f
407;dwDrivePersistedMask: %h
408;dwDrivePersistedMask: 16#%x
223;dwEncoderValue: %d
347;dwRatioTechUnitsDenom
212;dwRatioTechUnitsDenom: %d
356;dwTimeAtMax
189;dwTimeAtMax: %d
354;dwTimeStamp
186;dwTimeStamp: %d
421;dwValueMask
333;eBacklashMode
179;eBacklashMode : %s
334;eBacklashStartState
180;eBacklashStartState : %s
402;eErrorID
401;eErrorID : %d
328;eMode
18;eMode: %s
43;Enable
300;EnableMask
206;EnableMask : 16#%x
111;EndOfProfile
376;EndVelocity
38;EndVelocity : %f
377;EndVelocityDirection
41;EndVelocityDirection: %s
403;eRampType
397;eRampType: %d
398;eRampType: %s
414;eRestoringDiag
413;eRestoringDiag : %d
35;Error
284;ErrorID
308;ErrorId
36;ErrorID : %d
158;ErrorID: %d
202;Errorstop
322;eSetBrake
22;eSetBrake: %d
30;Execute
366;fAcceleration
85;fAcceleration: %f
361;fActTrackingError
187;fActTrackingError: %f
329;fBacklash
175;fBacklash : %f
203;FBErrorOccured
331;fCompensationAcc
177;fCompensationAcc : %f
332;fCompensationDec
178;fCompensationDec : %f
330;fCompensationVel
176;fCompensationVel : %f
367;fDeceleration
86;fDeceleration: %f
375;fDistance
227;fDistance : %.2f
363;fHomePosition
78;fHomePosition: %f
371;fIndexPosition
91;fIndexPosition: %f
318;FirstPosition
273;FirstPosition: %f
393;fJerk
391;fJerk: %f
355;fMaxAcceleration
255;fMaxAcceleration: %f
362;fMaxTrackingError
188;fMaxTrackingError: %f
357;fMaxVelocity
280;fMaxVelocity: %f
349;fPositionPeriod
214;fPositionPeriod: %f
373;fPosTime
164;fPosTime: %f
372;fPosWindow
163;fPosWindow: %f
422;fSetAcceleration
424;fSetCurrent
351;fSetPosition
113;fSetPosition : %f
423;fSetTorque
224;fSetValue %f
352;fSetVelocity
115;fSetVelocity : %f
369;fSignalDelay
87;fSignalDelay: %f
353;fStartPosition
221;fStartPosition: %f
374;fTimeOut
165;fTimeOut: %f
382;fTorque
243;fTorque: %f
365;fVelocityFast
80;fVelocityFast: %f
364;fVelocitySlow
79;fVelocitySlow : %f
198;Homing
65;Id: %d
335;iErrorID
114;iErrorID : %d
358;iID
144;iID:%d
350;iMovementType
400;iMovementType: %d
215;iMovementType: %s
136;inc:$R$N%f
60;InchAcc : %f
62;InchBackward
61;InchDec : %f
64;InchDistance : %f
63;InchForward
59;InchVelo : %f
34;InEndVelocity
248;InGear
205;InOperation
283;Instance: %s
220;Instanz: $$FB$$
27;Instanz: %s
28;Instanz: 5s
103;InSync
51;InVelocity
348;iRatioTechUnitsNum
213;iRatioTechUnitsNum: %d
